Date,Country,Agency/PMD (af_prt),Media Source (pid),Campaign (c),Clicks,Conversions,Conversion Type,Conversion Rate,Sessions
2024-06-20,GB,,facebook_int,SB_UAC_Hindi_KYC_NonFos_Firebase_Nov'22,,3,re-attribution,,428
2025-05-16,US,,bingads_int,Performance Campaign - Conversions,378.0,28,attribution,0.07407407407407407,615
2024-01-14,CA,,facebook_int,SB_UAC_Hindi_KYC_NonFos_Firebase_Nov'22,970.0,89,view-through,0.09175257731958762,974
2025-01-24,JP,Agency_5,bingads_int,New Product Launch,96.0,5,re-attribution,0.052083333333333336,263
2025-05-14,JP,Agency_1,googleadwords_int,SB_UAC_Hindi_KYC_Completed_April'24,26.0,0,attribution,0.0,679
2025-09-10,BR,Agency_1,organic,Performance Campaign - Conversions,,2,attribution,,495
2025-03-24,JP,Agency_5,organic,New Product Launch,244.0,2,re-attribution,0.00819672131147541,251
2024-02-29,BR,,organic,SB_UAC_Hindi_KYC_NonFos_Firebase_Nov'22,121.0,1,view-through,0.008264462809917356,408
2024-07-22,FR,,direct,Summer Sale - Limited Time Offer,112.0,8,re-attribution,0.07142857142857142,456
2025-12-04,AU,Agency_2,bingads_int,Performance Campaign - Conversions,293.0,12,view-through,0.040955631399317405,807
2025-08-25,AU,Agency_2,direct,SB_UAC_Hindi_KYC_Completed_April'24,34.0,0,attribution,0.0,519
2024-01-17,FR,Agency_5,facebook_int,Performance Campaign - Conversions,417.0,38,re-attribution,0.09112709832134293,960
2025-08-09,AU,Agency_4,organic,Performance Campaign - Conversions,102.0,10,view-through,0.09803921568627451,396
2025-07-22,JP,Agency_1,bingads_int,New Product Launch,334.0,29,re-attribution,0.08682634730538923,818
2024-09-29,DE,Agency_3,bingads_int,New Product Launch,257.0,10,re-attribution,0.038910505836575876,327
2024-09-09,IN,,facebook_int,New Product Launch,88.0,2,view-through,0.022727272727272728,966
2025-03-27,US,,bingads_int,SB_UAC_Hindi_KYC_NonFos_Firebase_Nov'22,123.0,12,re-attribution,0.0975609756097561,479
2024-07-26,FR,,bingads_int,SB_UAC_Hindi_KYC_Completed_April'24,274.0,19,attribution,0.06934306569343066,353
2024-02-19,US,Agency_1,googleadwords_int,New Product Launch,428.0,31,attribution,0.07242990654205607,883
2025-08-24,CA,Agency_4,facebook_int,Brand Campaign - Awareness,440.0,14,view-through,0.031818181818181815,630
2024-01-10,FR,,direct,SB_UAC_Hindi_KYC_NonFos_Firebase_Nov'22,95.0,2,re-attribution,0.021052631578947368,119
2024-06-18,CA,,bingads_int,Summer Sale - Limited Time Offer,839.0,68,attribution,0.08104886769964244,846
2024-07-05,US,,direct,Brand Campaign - Awareness,538.0,45,attribution,0.08364312267657993,593
2025-08-20,GB,Agency_5,googleadwords_int,Performance Campaign - Conversions,13.0,0,view-through,0.0,150
2024-12-03,JP,Agency_3,facebook_int,Brand Campaign - Awareness,21.0,2,re-attribution,0.09523809523809523,319
2024-09-16,GB,,googleadwords_int,New Product Launch,64.0,5,re-attribution,0.078125,330
2024-06-14,AU,,googleadwords_int,Performance Campaign - Conversions,110.0,11,attribution,0.1,124
2025-12-11,IN,Agency_1,bingads_int,Summer Sale - Limited Time Offer,39.0,0,view-through,0.0,743
2024-10-26,DE,Agency_4,organic,Summer Sale - Limited Time Offer,176.0,17,attribution,0.09659090909090909,256
2025-12-28,FR,Agency_1,bingads_int,SB_UAC_Hindi_KYC_Completed_April'24,43.0,3,re-attribution,0.06976744186046512,329
2024-12-08,IN,Agency_1,direct,Performance Campaign - Conversions,781.0,73,re-attribution,0.09346991037131883,914
2024-05-20,GB,,twitter_int,SB_UAC_Hindi_KYC_Completed_April'24,,3,view-through,,529
2025-10-31,IN,,direct,Performance Campaign - Conversions,,4,view-through,,256
2024-02-23,IN,,direct,New Product Launch,329.0,10,attribution,0.030395136778115502,888
2025-01-16,DE,Agency_4,googleadwords_int,Summer Sale - Limited Time Offer,205.0,8,re-attribution,0.03902439024390244,331
2024-12-17,JP,,bingads_int,Brand Campaign - Awareness,160.0,5,view-through,0.03125,313
2024-05-23,GB,Agency_1,googleadwords_int,Brand Campaign - Awareness,198.0,15,view-through,0.07575757575757576,671
2024-01-31,GB,Agency_2,facebook_int,New Product Launch,,0,view-through,,551
2025-06-30,AU,,facebook_int,Brand Campaign - Awareness,69.0,2,view-through,0.028985507246376812,99
2024-01-31,BR,Agency_5,direct,Performance Campaign - Conversions,,0,attribution,,348
2024-03-21,US,Agency_3,facebook_int,New Product Launch,,5,re-attribution,,366
2025-02-11,AU,Agency_1,twitter_int,Performance Campaign - Conversions,112.0,5,attribution,0.044642857142857144,371
2025-08-20,US,Agency_4,direct,SB_UAC_Hindi_KYC_NonFos_Firebase_Nov'22,20.0,2,re-attribution,0.1,448
2024-01-23,DE,,facebook_int,Performance Campaign - Conversions,20.0,0,view-through,0.0,118
2024-02-20,CA,Agency_4,twitter_int,Performance Campaign - Conversions,405.0,23,attribution,0.056790123456790124,556
2025-06-01,DE,,bingads_int,SB_UAC_Hindi_KYC_Completed_April'24,,5,re-attribution,,606
