Date,Country,Agency/PMD (af_prt),Media Source (pid),Campaign (c),Clicks
2024-08-11,CA,,email_marketing,Performance_Video_Spanish_Engagement_Oct'22,72611.0
2025-07-23,DE,,facebook_int,Performance_PMax_English_App_Install_Apr'23,63512.0
2025-02-02,DE,,bing_int,Acquisition_Video_Spanish_App_Install_Sep'25,72235.0
2024-08-21,GB,,googleadwords_int,SB_Search_Generic_Engagement_Jul'21,53381.0
2024-08-01,GB,,direct,Performance_PMax_Spanish_KYC_Completed_Apr'22,27078.0
2024-09-02,GB,,bing_int,SB_Display_Generic_Sale_Jul'23,63788.0
2024-08-14,AU,DigitalReach,tiktok_int,Acquisition_Display_English_App_Install_Mar'22,18188.0
2023-10-23,CA,AdVentures,bing_int,Retargeting_Search_English_KYC_Completed_Aug'24,77145.0
2025-07-07,BR,,facebook_int,Acquisition_UAC_Generic_App_Install_Oct'21,5451.0
2025-05-13,DE,,direct,Brand_Search_Spanish_App_Install_Nov'21,95936.0
2024-07-03,CA,,direct,Brand_Display_English_KYC_Completed_Feb'20,
2025-04-03,DE,,snapchat_int,Brand_Search_Generic_Engagement_Oct'23,30071.0
2024-12-02,IN,,googleadwords_int,Brand_Video_English_KYC_Completed_Aug'21,59936.0
2025-06-18,DE,GrowthMasters,email_marketing,Brand_UAC_Generic_Lead_Gen_Jun'21,
2025-09-17,CA,AdVentures,googleadwords_int,Performance_Display_English_Engagement_Aug'25,91323.0
2025-05-31,CA,,facebook_int,Retargeting_UAC_Spanish_Sale_Jun'23,73530.0
2024-09-30,IN,,bing_int,Performance_Display_Spanish_Engagement_Aug'21,27634.0
2025-09-11,BR,,tiktok_int,Brand_Search_Spanish_Sale_Feb'23,5147.0
2025-05-17,US,,email_marketing,Acquisition_UAC_Spanish_Engagement_Feb'22,25161.0
2024-11-11,IN,,snapchat_int,Retargeting_Display_English_Lead_Gen_Dec'20,30104.0
2024-05-10,US,,direct,Acquisition_Display_Hindi_KYC_Completed_Sep'20,78435.0
2024-12-16,GB,,direct,Brand_PMax_Spanish_Lead_Gen_Aug'24,98261.0
2025-08-02,BR,DigitalReach,googleadwords_int,Performance_Search_Hindi_KYC_Completed_Dec'20,61700.0
2024-09-10,US,,direct,Brand_Display_Spanish_Lead_Gen_Apr'21,27727.0
2023-12-23,DE,,tiktok_int,Acquisition_Search_English_Sale_Mar'20,760.0
