Date,Country,Agency/PMD (af_prt),Media Source (pid),Campaign (c),Clicks,Conversions,Conversion Type,Conversion Rate,Sessions,Loyal Users,Loyal Users/Installs,Total Revenue,Total Cost,ROI,ARPU,Average eCPI,booking_confirmed (Unique users),booking_confirmed (Event counter),booking_confirmed (Sales in INR),booking_done_10_fos (Unique users),booking_done_10_fos (Event counter),booking_done_10_fos (Sales in INR),booking_done_11_fos (Unique users),booking_done_11_fos (Event counter),booking_done_11_fos (Sales in INR),booking_done_1_fos (Unique users),booking_done_1_fos (Event counter),booking_done_1_fos (Sales in INR),booking_done_2_fos (Unique users),booking_done_2_fos (Event counter),booking_done_2_fos (Sales in INR),booking_done_3_fos (Unique users),booking_done_3_fos (Event counter),booking_done_3_fos (Sales in INR),booking_done_4_fos (Unique users),booking_done_4_fos (Event counter),booking_done_4_fos (Sales in INR),booking_done_5_fos (Unique users),booking_done_5_fos (Event counter),booking_done_5_fos (Sales in INR),booking_done_6_fos (Unique users),booking_done_6_fos (Event counter),booking_done_6_fos (Sales in INR),booking_done_7_fos (Unique users),booking_done_7_fos (Event counter),booking_done_7_fos (Sales in INR),booking_done_8_fos (Unique users),booking_done_8_fos (Event counter),booking_done_8_fos (Sales in INR),booking_done_9_fos (Unique users),booking_done_9_fos (Event counter),booking_done_9_fos (Sales in INR),button click (Unique users),button click (Event counter),button click (Sales in INR),call_now_clicked (Unique users),call_now_clicked (Event counter),call_now_clicked (Sales in INR),company name entered (Unique users),company name entered (Event counter),company name entered (Sales in INR),dg_locker_aadhaar_otp_shown (Unique users),dg_locker_aadhaar_otp_shown (Event counter),dg_locker_aadhaar_otp_shown (Sales in INR),event_overlay_permission_pop_up_continue_clicked (Unique users),event_overlay_permission_pop_up_continue_clicked (Event counter),event_overlay_permission_pop_up_continue_clicked (Sales in INR),event_overlay_permission_pop_up_dismiss_clicked (Unique users),event_overlay_permission_pop_up_dismiss_clicked (Event counter),event_overlay_permission_pop_up_dismiss_clicked (Sales in INR),event_overlay_permission_pop_up_shown (Unique users),event_overlay_permission_pop_up_shown (Event counter),event_overlay_permission_pop_up_shown (Sales in INR),first_booking_clicked (Unique users),first_booking_clicked (Event counter),first_booking_clicked (Sales in INR),first_booking_done (Unique users),first_booking_done (Event counter),first_booking_done (Sales in INR),instant_kyc_submitted_non_fos (Unique users),instant_kyc_submitted_non_fos (Event counter),instant_kyc_submitted_non_fos (Sales in INR),instant_kyc_success (Unique users),instant_kyc_success (Event counter),instant_kyc_success (Sales in INR),kyc_completed_non_fos (Unique users),kyc_completed_non_fos (Event counter),kyc_completed_non_fos (Sales in INR),load_posting_form_opened (Unique users),load_posting_form_opened (Event counter),load_posting_form_opened (Sales in INR),order_tracking_created_1_fos (Unique users),order_tracking_created_1_fos (Event counter),order_tracking_created_1_fos (Sales in INR),order_tracking_created_1_non_fos (Unique users),order_tracking_created_1_non_fos (Event counter),order_tracking_created_1_non_fos (Sales in INR),order_tracking_created_fos (Unique users),order_tracking_created_fos (Event counter),order_tracking_created_fos (Sales in INR),order_tracking_created_non_fos (Unique users),order_tracking_created_non_fos (Event counter),order_tracking_created_non_fos (Sales in INR),overlay_permission_not_given (Unique users),overlay_permission_not_given (Event counter),overlay_permission_not_given (Sales in INR),page_load (Unique users),page_load (Event counter),page_load (Sales in INR),page_seen (Unique users),page_seen (Event counter),page_seen (Sales in INR),payment_success_fos (Unique users),payment_success_fos (Event counter),payment_success_fos (Sales in INR),recharge_pack_select (Unique users),recharge_pack_select (Event counter),recharge_pack_select (Sales in INR),sales_code_started (Unique users),sales_code_started (Event counter),sales_code_started (Sales in INR),sales_code_success (Unique users),sales_code_success (Event counter),sales_code_success (Sales in INR),start_booking (Unique users),start_booking (Event counter),start_booking (Sales in INR),verify_otp_api_success (Unique users),verify_otp_api_success (Event counter),verify_otp_api_success (Sales in INR)
2025-09-26,IN,,facebook,SB_UAC_Hindi_KYC_Completed_Firebase_Nov'22,,5,new install,,221,2,0.33,53.14,,,17.71,,1,4,4.28,1,5,3.33,0,0,0.0,2,2,2.52,2,2,1.15,1,2,9.81,1,10,8.7,0,0,0.0,2,8,3.1,2,7,9.96,1,8,6.83,0,0,0.0,2,7,5.64,2,9,2.97,1,2,8.59,0,0,0.0,2,7,8.89,1,4,1.34,0,0,0.0,1,2,2.64,1,4,6.04,2,2,2.47,0,0,0.0,1,6,3.28,1,1,4.95,2,5,8.1,1,7,6.35,2,9,7.43,2,9,7.2,2,3,8.03,2,8,1.63,2,0,0.0,1,9,2.71,1,4,4.74,1,6,0.51,0,0,0.0,0,0,0.0,0,0,0.0
2024-11-13,CA,,other,SB_UAC_Hindi_KYC_NonFos_Firebase_April'24,,6,new install,,236,5,0.71,72.35,217.51,-0.67,12.06,36.25,2,5,5.99,2,1,5.5,0,0,0.0,2,6,2.9,2,0,0.0,0,0,0.0,1,10,9.34,1,2,0.9,1,4,5.88,0,0,0.0,1,4,9.68,0,0,0.0,0,0,0.0,0,0,0.0,1,10,9.8,1,3,0.58,1,8,7.97,2,5,3.96,1,10,8.46,1,8,0.52,1,0,0.0,2,0,0.0,2,7,7.59,0,0,0.0,2,5,9.0,2,2,9.73,1,9,6.21,0,0,0.0,1,3,7.76,1,9,6.5,0,0,0.0,1,7,4.73,2,10,8.75,2,2,3.75,1,10,3.88,0,0,0.0,2,5,8.43,0,0,0.0
2024-11-02,CA,,other,SB_UAC_English_KYC_Completed_Firebase_Nov'22,,6,new install,,252,4,0.57,29.7,432.29,-0.93,5.94,72.05,1,6,4.48,2,5,6.98,2,8,4.07,0,0,0.0,2,7,5.97,1,5,7.87,0,0,0.0,0,0,0.0,0,0,0.0,1,8,2.56,2,6,1.15,0,0,0.0,0,0,0.0,1,7,3.52,2,7,6.4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,10,8.81,1,8,6.04,1,7,7.87,1,8,0.53,1,3,3.34,1,4,8.38,2,0,0.0,1,3,2.91,0,0,0.0,2,7,3.45,2,7,4.76,1,7,6.02,2,4,0.42,0,0,0.0,2,5,7.13,0,0,0.0,0,0,0.0,2,1,9.86,0,0,0.0
2025-10-02,US,,organic,SB_UAC_Hindi_KYC_Completed_Firebase_Nov'22,,6,new install,,147,0,0.0,21.73,180.0,-0.88,21.73,30.0,1,0,0.0,2,7,0.82,1,1,1.77,1,3,0.33,2,9,1.84,0,0,0.0,1,4,5.19,2,4,5.9,1,0,0.0,1,6,5.83,2,7,1.05,1,4,5.38,2,1,4.41,0,0,0.0,1,7,3.66,2,6,2.51,0,0,0.0,2,1,5.9,2,2,3.2,1,5,6.05,1,8,3.3,0,0,0.0,2,6,7.05,1,1,9.54,2,6,4.73,1,7,7.23,2,2,8.99,0,0,0.0,2,6,2.54,0,0,0.0,0,0,0.0,1,2,4.67,1,0,0.0,2,0,0.0,2,8,3.15,2,8,5.13,1,10,9.19,0,0,0.0
2024-10-22,CA,"Gonzalez, Roberts and Lewis",facebook,SB_UAC_English_KYC_NonFos_Firebase_April'24,,0,new install,,309,2,2.0,73.95,290.03,-0.75,24.65,,1,1,1.04,2,9,7.73,1,2,9.26,1,4,7.45,0,0,0.0,1,6,7.51,2,8,3.58,0,0,0.0,1,8,8.71,2,2,2.64,1,8,4.17,0,0,0.0,1,4,4.69,0,0,0.0,0,0,0.0,1,9,1.26,0,0,0.0,0,0,0.0,2,5,8.17,2,4,1.2,0,0,0.0,1,6,4.21,0,0,0.0,0,0,0.0,2,0,0.0,2,3,8.38,0,0,0.0,1,10,1.75,0,0,0.0,0,0,0.0,2,3,7.09,2,2,9.7,2,2,9.32,1,0,0.0,0,0,0.0,1,9,2.73,1,2,4.68,0,0,0.0
2024-11-11,CA,,facebook,SB_UAC_Hindi_KYC_NonFos_Firebase_April'24,,9,new install,,186,3,0.3,18.89,300.21,-0.94,4.72,33.36,0,0,0.0,1,4,4.28,1,8,5.59,0,0,0.0,2,1,9.63,1,1,6.39,2,4,9.18,0,0,0.0,2,3,4.69,2,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,8,3.02,0,0,0.0,1,9,8.0,1,2,9.97,1,1,8.13,2,7,7.71,1,2,0.73,1,5,0.53,2,10,5.96,2,7,6.46,1,6,2.02,2,5,9.07,2,1,7.18,0,0,0.0,0,0,0.0,2,6,0.06,1,8,7.89,0,0,0.0,0,0,0.0,2,0,0.0,1,10,6.1,2,5,0.88,0,0,0.0,1,10,3.91,2,6,2.22
2025-03-31,CA,,organic,SB_UAC_English_KYC_Completed_Firebase_Nov'22,,8,other,,192,3,0.33,51.68,,,12.92,,0,0,0.0,0,0,0.0,0,0,0.0,2,4,8.85,0,0,0.0,1,5,7.4,2,9,4.85,1,7,2.45,2,3,6.88,0,0,0.0,1,5,8.81,2,5,8.9,1,3,2.35,2,3,4.37,1,3,8.73,1,3,9.63,2,5,4.01,2,4,7.45,1,4,8.14,1,10,7.35,1,9,4.48,2,7,2.14,2,5,2.61,1,10,1.71,1,8,4.82,2,3,0.06,2,6,8.77,2,1,0.65,2,5,0.2,0,0,0.0,1,3,1.09,0,0,0.0,1,0,0.0,1,4,1.49,2,8,2.6,2,4,3.72,0,0,0.0,2,7,8.69
2025-07-23,GB,Smith-Patel,organic,SB_UAC_English_KYC_Completed_Firebase_April'24,,10,re-attribution,,492,5,0.45,56.67,338.86,-0.83,9.45,33.89,2,7,2.29,2,8,2.96,0,0,0.0,2,9,2.07,1,6,2.58,2,0,0.0,2,7,4.77,1,5,1.14,1,10,0.92,2,4,1.04,0,0,0.0,1,4,0.9,0,0,0.0,0,0,0.0,1,2,7.96,1,7,8.65,1,10,2.44,1,9,0.2,0,0,0.0,2,4,6.78,2,3,8.9,0,0,0.0,0,0,0.0,1,5,4.95,1,3,3.97,1,4,3.05,2,0,0.0,0,0,0.0,0,0,0.0,2,5,1.84,2,8,6.46,1,4,9.88,2,4,8.2,0,0,0.0,0,0,0.0,2,2,8.95,2,1,5.05,2,7,2.23
2025-10-04,US,,other,SB_UAC_English_KYC_NonFos_Firebase_April'24,,3,re-attribution,,198,2,0.5,46.44,,,15.48,,2,0,0.0,0,0,0.0,1,1,3.48,1,8,1.51,1,8,4.83,1,7,2.9,0,0,0.0,1,2,6.58,2,1,2.26,0,0,0.0,2,3,5.0,1,6,4.23,2,9,1.68,0,0,0.0,0,0,0.0,2,0,0.0,2,1,6.7,0,0,0.0,1,10,0.69,0,0,0.0,0,0,0.0,2,9,4.87,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,2,1.1,1,3,2.64,0,0,0.0,2,3,1.04,0,0,0.0,1,8,3.31,1,3,3.07,2,1,3.96,2,10,3.12,0,0,0.0,0,0,0.0
2025-03-04,US,Byrd-Banks,organic,SB_UAC_English_KYC_NonFos_Firebase_May'24,,8,new install,,351,2,0.22,59.16,,,19.72,,1,9,0.39,0,0,0.0,1,6,8.59,0,0,0.0,1,8,0.58,2,4,3.58,0,0,0.0,0,0,0.0,2,7,1.24,0,0,0.0,0,0,0.0,1,1,2.08,2,10,4.55,0,0,0.0,2,2,2.56,1,1,7.42,2,5,6.68,0,0,0.0,2,10,0.11,0,0,0.0,0,0,0.0,1,6,3.43,0,0,0.0,2,9,5.08,1,3,3.61,1,5,4.52,2,0,0.0,2,6,5.45,1,6,5.62,0,0,0.0,1,1,9.3,2,7,7.72,0,0,0.0,2,9,9.0,0,0,0.0,2,6,4.23,2,9,2.02,2,8,3.61
